"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","Bengaluru, Karnataka","162","Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1428,1051,1939
"89","Bengaluru, Karnataka","163","100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1202,885,1631
"89","Bengaluru, Karnataka","164","725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1644,1217,2219
"89","Bengaluru, Karnataka","165","State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1871,1331,2629
"89","Bengaluru, Karnataka","166","Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1800,1163,2785
"89","Bengaluru, Karnataka","167","300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2291,1669,3144
"89","Bengaluru, Karnataka","168","Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2763,2068,3690
"89","Bengaluru, Karnataka","169","M4, Phase 1, Whitefield, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2314,1680,3185
"89","Bengaluru, Karnataka","170","Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1883,1344,2636
"89","Bengaluru, Karnataka","171","2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1739,1217,2483
"89","Bengaluru, Karnataka","172","200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1805,1239,2628
"89","Bengaluru, Karnataka","173","Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1949,1394,2724
"89","Bengaluru, Karnataka","174","0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1947,1399,2708
"89","Bengaluru, Karnataka","175","100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1643,1144,2358
"89","Bengaluru, Karnataka","176","0 2nd Cross Road, Hongasandra, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1773,1241,2532
"89","Bengaluru, Karnataka","177","100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1868,1322,2638
"89","Bengaluru, Karnataka","178","Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2012,1435,2819
"89","Bengaluru, Karnataka","179","100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2149,1511,3055
"89","Bengaluru, Karnataka","180","4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2363,1774,3146
"89","Bengaluru, Karnataka","181","300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2203,1543,3143
"89","Bengaluru, Karnataka","182","469/2, Begur, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2161,1559,2994
"89","Bengaluru, Karnataka","183","1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2484,1784,3457
"89","Bengaluru, Karnataka","184","0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2384,1739,3268
"89","Bengaluru, Karnataka","185","Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2730,1997,3731
"89","Bengaluru, Karnataka","186","NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1672,1208,2313
"89","Bengaluru, Karnataka","187","0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1818,1303,2536
"89","Bengaluru, Karnataka","188","300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1893,1412,2536
"89","Bengaluru, Karnataka","189","400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1251,870,1797
"89","Bengaluru, Karnataka","190","0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1150,797,1658
"89","Bengaluru, Karnataka","191","500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1974,1427,2729
"89","Bengaluru, Karnataka","192","0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2317,1673,3208
"89","Bengaluru, Karnataka","193","100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1508,1061,2142
"89","Bengaluru, Karnataka","194","0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1562,1059,2301
"89","Bengaluru, Karnataka","195","Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2179,1613,2942
"89","Bengaluru, Karnataka","196","0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1914,1408,2600
"89","Bengaluru, Karnataka","197","0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1620,1157,2266
"89","Bengaluru, Karnataka","198","BGS Road, Kodipalya, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2071,1540,2783
